date,home_team,away_team,home_win_rate,prob_iso,prob_used,odds_1,ev_eur_per_100,win,pnl
2026-01-16,HOU,MIN,0.86,0.66,0.66,1.56,2.21,1,56.0
2026-01-11,GSW,ATL,0.77,0.66,0.66,1.46,-4.34,0,-100.0
2026-01-11,MIN,SAS,0.78,0.69,0.69,1.70,17.05,1,70.0
2026-01-10,DET,LAC,0.82,0.66,0.66,1.51,-1.07,0,-100.0
2026-01-09,PHO,NYK,0.86,0.69,0.69,1.98,36.33,1,98.0
2026-01-08,MIN,CLE,0.78,0.71,0.71,1.80,28.57,1,80.0
2026-01-07,SAS,LAL,0.67,0.69,0.69,1.41,-2.92,1,41.0
2026-01-06,MIN,MIA,0.78,0.69,0.69,1.46,0.52,1,46.0
2026-01-05,LAC,GSW,0.80,0.60,0.60,1.83,9.80,1,83.0
2026-01-05,DET,NYK,0.82,0.69,0.69,2.30,58.36,1,130.0
2026-01-03,LAC,BOS,0.80,0.69,0.69,1.85,27.38,0,-100.0
2025-12-31,SAS,NYK,0.67,0.66,0.66,1.82,19.24,1,82.0
2025-12-29,SAS,CLE,0.67,0.71,0.71,1.74,24.29,0,-100.0
2025-12-28,LAC,DET,0.80,0.69,0.69,2.36,62.49,1,136.0
2025-12-27,HOU,CLE,0.86,0.66,0.66,1.57,2.86,1,57.0
2025-12-25,DEN,MIN,0.78,0.69,0.69,1.80,23.93,1,80.0
2025-12-25,DEN,MIN,0.78,0.69,0.69,1.60,10.16,1,60.0
